tc,call_volume,aht,service_level,art
2022-12-04 10:45:00.000,82,187.75,80,30
2022-12-04 11:00:00.000,82,185,80,30
2022-12-04 11:15:00.000,83,195.5,80,30
2022-12-04 11:30:00.000,89,212.25,80,30
2022-12-04 11:45:00.000,81,194.75,80,30
2022-12-04 12:00:00.000,81,187.25,80,30
2022-12-04 12:15:00.000,81,197,80,30
2022-12-04 12:30:00.000,81,195.5,80,30
2022-12-04 12:45:00.000,79,202.75,80,30
2022-12-04 13:00:00.000,77,219,80,30
2022-12-04 13:15:00.000,77,189.75,80,30
2022-12-04 13:30:00.000,72,194.5,80,30
2022-12-04 13:45:00.000,75,201.5,80,30
2022-12-04 14:00:00.000,71,162.25,80,30
2022-12-04 14:15:00.000,69,164.75,80,30
2022-12-04 14:30:00.000,71,171.5,80,30
2022-12-04 14:45:00.000,69,195.75,80,30
2022-12-04 15:00:00.000,67,193.75,80,30
2022-12-04 15:15:00.000,67,230,80,30
2022-12-04 15:30:00.000,61,188.25,80,30
2022-12-04 15:45:00.000,65,204,80,30
2022-12-04 16:00:00.000,58,177.25,80,30
2022-12-04 16:15:00.000,60,179.25,80,30
2022-12-04 16:30:00.000,61,196,80,30
2022-12-04 16:45:00.000,55,187.75,80,30
2022-12-04 17:00:00.000,57,184.5,80,30
2022-12-04 17:15:00.000,53,186.5,80,30
2022-12-04 17:30:00.000,54,182,80,30
2022-12-04 17:45:00.000,52,194,80,30
2022-12-04 18:00:00.000,49,194.25,80,30
2022-12-04 18:15:00.000,45,182.5,80,30
2022-12-04 18:30:00.000,46,192.5,80,30
2022-12-04 18:45:00.000,46,180.5,80,30
2022-12-04 19:00:00.000,41,177.25,80,30
2022-12-04 19:15:00.000,36,179,80,30
2022-12-04 19:30:00.000,37,203.5,80,30
2022-12-04 19:45:00.000,36,217.5,80,30
2022-12-04 20:00:00.000,34,188,80,30
2022-12-04 20:15:00.000,30,204,80,30
2022-12-04 20:30:00.000,30,178.25,80,30
2022-12-04 20:45:00.000,30,175.5,80,30
2022-12-04 21:00:00.000,28,208.5,80,30
2022-12-04 21:15:00.000,26,244.25,80,30
2022-12-04 21:30:00.000,20,257.75,80,30
2022-12-04 21:45:00.000,24,178.5,80,30
2022-12-04 22:00:00.000,20,226.25,80,30
2022-12-04 22:15:00.000,17,187.5,80,30
2022-12-04 22:30:00.000,14,248.75,80,30
2022-12-04 22:45:00.000,13,149,80,30
2022-12-04 23:00:00.000,11,158.5,80,30
2022-12-04 23:15:00.000,10,88.75,80,30
2022-12-04 23:30:00.000,8,117,80,30
2022-12-04 23:45:00.000,7,192.25,80,30
2022-12-05 00:00:00.000,7,188.5,80,30
2022-12-05 00:15:00.000,6,104.5,80,30
2022-12-05 00:30:00.000,6,320.75,80,30
2022-12-05 00:45:00.000,7,106,80,30
2022-12-05 01:00:00.000,6,184.25,80,30
2022-12-05 01:15:00.000,11,100.75,80,30
2022-12-05 01:30:00.000,13,210.5,80,30
2022-12-05 01:45:00.000,10,179.25,80,30
2022-12-05 02:00:00.000,14,160.25,80,30
2022-12-05 02:15:00.000,16,226,80,30
2022-12-05 02:30:00.000,22,155.25,80,30
2022-12-05 02:45:00.000,26,208.25,80,30
2022-12-05 03:00:00.000,39,195.5,80,30
2022-12-05 03:15:00.000,33,183.25,80,30
2022-12-05 03:30:00.000,33,199.25,80,30
2022-12-05 03:45:00.000,45,153,80,30
2022-12-05 04:00:00.000,47,172.5,80,30
2022-12-05 04:15:00.000,55,206.25,80,30
2022-12-05 04:30:00.000,57,196.25,80,30
2022-12-05 04:45:00.000,64,193.25,80,30
2022-12-05 05:00:00.000,77,199,80,30
2022-12-05 05:15:00.000,97,197.75,80,30
2022-12-05 05:30:00.000,102,303.25,80,30
2022-12-05 05:45:00.000,117,325.75,80,30
2022-12-05 06:00:00.000,118,204.5,80,30
2022-12-05 06:15:00.000,130,459,80,30
2022-12-05 06:30:00.000,137,271.5,80,30
2022-12-05 06:45:00.000,156,218.5,80,30
2022-12-05 07:00:00.000,166,470.25,80,30
2022-12-05 07:15:00.000,185,394,80,30
2022-12-05 07:30:00.000,218,388,80,30
2022-12-05 07:45:00.000,241,204.5,80,30
2022-12-05 08:00:00.000,264,374,80,30
2022-12-05 08:15:00.000,294,326.25,80,30
2022-12-05 08:30:00.000,334,370.5,80,30
2022-12-05 08:45:00.000,365,324.25,80,30
2022-12-05 09:00:00.000,419,409.5,80,30
2022-12-05 09:15:00.000,499,312.5,80,30
2022-12-05 09:30:00.000,565,425.75,80,30
2022-12-05 09:45:00.000,598,454.75,80,30
2022-12-05 10:00:00.000,618,453.5,80,30
2022-12-05 10:15:00.000,638,404.75,80,30
2022-12-05 10:30:00.000,649,430.75,80,30
2022-12-05 10:45:00.000,653,410,80,30
2022-12-05 11:00:00.000,666,476.25,80,30
2022-12-05 11:15:00.000,668,447,80,30
2022-12-05 11:30:00.000,653,445,80,30
2022-12-05 11:45:00.000,655,382.25,80,30
2022-12-05 12:00:00.000,653,430,80,30
2022-12-05 12:15:00.000,649,443.25,80,30
2022-12-05 12:30:00.000,655,414.25,80,30
2022-12-05 12:45:00.000,651,507.5,80,30
2022-12-05 13:00:00.000,640,437.5,80,30
2022-12-05 13:15:00.000,614,442.75,80,30
2022-12-05 13:30:00.000,612,403,80,30
2022-12-05 13:45:00.000,600,426.75,80,30
2022-12-05 14:00:00.000,602,453.75,80,30
2022-12-05 14:15:00.000,609,405,80,30
2022-12-05 14:30:00.000,619,381.25,80,30
2022-12-05 14:45:00.000,626,447,80,30
2022-12-05 15:00:00.000,611,385.75,80,30
2022-12-05 15:15:00.000,591,405,80,30
2022-12-05 15:30:00.000,574,498.5,80,30
2022-12-05 15:45:00.000,563,543,80,30
2022-12-05 16:00:00.000,532,499.25,80,30
2022-12-05 16:15:00.000,495,561.75,80,30
2022-12-05 16:30:00.000,473,425.5,80,30
2022-12-05 16:45:00.000,438,397.25,80,30
2022-12-05 17:00:00.000,397,418.25,80,30
2022-12-05 17:15:00.000,361,447.75,80,30
2022-12-05 17:30:00.000,333,339.5,80,30
2022-12-05 17:45:00.000,298,337.75,80,30
2022-12-05 18:00:00.000,273,295.25,80,30
2022-12-05 18:15:00.000,221,444,80,30
2022-12-05 18:30:00.000,185,216.75,80,30
2022-12-05 18:45:00.000,168,440.5,80,30
